bottle,sample_matrix,FLU1,FLU2,FLU3,extras
F1,sample,1.3,1.356,1.317,
C11,sample,4.29,3.848,3.886,
C12,matrix,169.9,170,169.4,
F12,sample,68.4,68.46,68.29,
F13,sample,64.74,64.81,65.36,
F14,matrix,234.8,234.4,234,
G03,sample,516.3,516.2,518.2,"520.0, 497.5"
G05,sample,512.3,514.9,513.1,"506.9, 519.4"
G11,matrix,661.3,663.7,662.4,"657.2, 658.9, 652.6"
